nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
231.09745407104492,232.28170013427734,229.40566635131836,227.71388626098633,234.65019989013672,228.7289581298828,238.0337677001953,226.86799240112305,241.92487335205078,225.34538650512695,243.78583526611328,236.51116180419922,241.24816131591797,231.94334411621094,232.4508819580078,230.75909423828125,231.09745407104492,269.54528427124023,267.8444519042969,268.01453018188477,270.3956985473633,269.3752021789551,279.75028228759766,278.5596923828125,289.1048583984375,288.7646942138672,282.4716110229492,298.96968841552734,301.0106964111328,300.1602783203125,317.1686019897461,316.8284378051758,334.6871871948242,334.51709747314453
226.35638809204102,227.66439056396484,224.55789184570312,223.7403907775879,230.11688613891602,226.8468894958496,232.40589141845703,224.39439392089844,,222.26889038085938,238.61888122558594,233.223388671875,232.2423858642578,226.02938842773438,226.35638809204102,,,269.25850677490234,267.6201171875,267.6201171875,269.25850677490234,268.7669868469238,278.2696533203125,277.1227798461914,288.26383209228516,,283.5125045776367,297.6026611328125,303.9923782348633,301.2071228027344,315.62496185302734,314.96959686279297,,
222.5003318786621,219.35234451293945,221.3985366821289,219.98194122314453,225.96310806274414,222.81512832641602,228.6388931274414,220.6115379333496,233.36087036132812,214.47297286987305,235.87925720214844,229.42589569091797,229.58329010009766,220.6115379333496,226.9075050354004,223.91692352294922,225.33351135253906,269.4481430053711,268.0320358276367,268.0320358276367,269.6054878234863,268.9761047363281,277.63008880615234,277.47274017333984,287.38548278808594,288.8015899658203,297.9276123046875,298.08495330810547,299.8157501220703,299.34371185302734,314.60619354248047,314.60619354248047,333.48760986328125,327.82318115234375
218.88092803955078,219.83776092529297,217.28620529174805,216.48884201049805,222.22984313964844,220.79459381103516,218.40250778198242,215.85095596313477,216.8077850341797,210.42889404296875,212.3425636291504,223.66509246826172,223.02720642089844,216.0104217529297,,219.83776092529297,,270.10911560058594,268.5112838745117,268.67107009887695,270.10911560058594,268.83084869384766,277.1395492553711,277.77867889404297,293.59716796875,289.12325286865234,297.11238861083984,296.31346893310547,303.18412017822266,302.0656509399414,315.1678237915039,,334.6613082885742,
214.47827911376953,215.43782806396484,213.3588104248047,212.5591812133789,217.67678833007812,217.67678833007812,213.99850463867188,222.95431518554688,211.59962844848633,213.3588104248047,,,,212.5591812133789,,213.3588104248047,212.07939910888672,270.5138397216797,268.9159622192383,269.23553466796875,270.0344772338867,269.0757522583008,276.5857925415039,276.7455749511719,284.5751953125,283.45668029785156,285.05455780029297,,,,325.48094177246094,,342.25868225097656,340.8206024169922
,207.5903091430664,208.08029174804688,207.91696166992188,213.9600830078125,212.3268051147461,,207.10032653808594,,216.24666595458984,203.1804656982422,212.6534652709961,216.40999603271484,208.24362182617188,203.1804656982422,212.00015258789062,,,270.55312728881836,270.06243896484375,271.6980743408203,269.40818786621094,278.56773376464844,,292.7977600097656,,313.5703125,296.5597152709961,307.5184631347656,304.41077423095703,322.2391815185547,314.3881378173828,341.70323181152344,
202.8277473449707,203.14612579345703,203.6236915588379,204.10125350952148,209.19528198242188,208.24015045166016,,205.5339469909668,,213.17498779296875,,212.0606689453125,212.0606689453125,207.28501892089844,209.03609466552734,212.53823852539062,,272.82847595214844,270.9096260070801,272.82847595214844,271.229434967041,269.79029846191406,278.10530853271484,,292.49666595458984,,311.5252380371094,,303.53003692626953,302.8904266357422,322.3987045288086,322.3987045288086,342.38670349121094,
200.10253143310547,199.1056900024414,199.77024841308594,199.60411071777344,205.08675384521484,204.25604248046875,,210.73553466796875,,196.61357879638672,196.61357879638672,210.40325164794922,213.3937759399414,201.26551818847656,203.0930633544922,212.0646514892578,,274.84283447265625,270.5201301574707,273.84528732299805,271.85019302368164,269.52258682250977,277.6692199707031,,293.6299743652344,,295.6250686645508,295.4588165283203,304.1042175292969,304.1042175292969,317.2386016845703,324.05517578125,341.8447570800781,
195.0821762084961,197.28563690185547,194.9126853942871,199.8280792236328,194.40419006347656,,195.59066772460938,206.26895141601562,,200.67556762695312,192.03124237060547,203.04851531982422,,,203.21800994873047,211.69284057617188,212.20132446289062,269.26904678344727,269.26904678344727,269.26904678344727,269.26904678344727,269.26904678344727,,276.91307067871094,279.121337890625,,273.6855926513672,294.06964111328125,312.75501251220703,,,326.68412017822266,341.9721374511719,342.3118896484375
190.4472999572754,191.30302810668945,190.4472999572754,194.2125015258789,190.4472999572754,197.29312133789062,,202.94091796875,191.1318817138672,197.29312133789062,187.53782272338867,199.34686279296875,,196.43739318847656,202.08518981933594,210.47132110595703,210.64246368408203,270.2835464477539,267.0356674194336,267.0356674194336,267.0356674194336,269.9416618347168,274.21518325805664,,278.6596450805664,282.5912857055664,274.0442428588867,294.3861999511719,313.18968963623047,,326.1811981201172,327.3777770996094,340.54022216796875,340.71116638183594
189.7098388671875,190.43385314941406,187.53778076171875,192.06289672851562,186.45175170898438,196.04500579833984,195.13998413085938,193.5109405517578,,186.99475860595703,181.38360977172852,196.58802032470703,196.58802032470703,195.13998413085938,181.38360977172852,209.25835418701172,209.43936157226562,269.5240936279297,268.2576446533203,268.80041122436523,268.2576446533203,268.9813346862793,285.26422119140625,285.0832977294922,298.29052734375,,306.07012939453125,293.7675018310547,308.96485900878906,308.78395080566406,323.6194610595703,312.40235900878906,339.3595886230469,339.3595886230469
183.95457458496094,186.3102798461914,183.41094970703125,189.02841186523438,182.68611907958984,191.74652862548828,184.67941284179688,190.4780731201172,,,,190.4780731201172,,190.11565399169922,179.2431640625,205.5183563232422,,268.27459716796875,266.6422691345215,266.8236427307129,266.6422691345215,267.18637466430664,276.79896545410156,274.0784225463867,294.3918228149414,,,,310.1709671020508,,323.4109573364258,310.71507263183594,336.65093994140625,
,,,,,188.49968719482422,,193.66675567626953,,189.56873321533203,,188.14334106445312,183.86714935302734,189.56873321533203,183.86714935302734,201.32825469970703,,,,,,,293.45790100097656,,298.4625930786133,,306.8633270263672,,311.15306091308594,310.2593688964844,324.3797607421875,323.48606872558594,335.28284454345703,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.06316375732422,175.90424728393555,173.05893325805664,172.38944625854492,179.25167846679688,182.26436614990234,184.7749481201172,,,,174.23053359985352,180.5906524658203,177.57796478271484,180.5906524658203,175.73687744140625,,175.4021339416504,265.92981719970703,263.25049591064453,264.9250717163086,264.5901565551758,262.5806694030762,272.6281204223633,271.79083251953125,,,,296.7420120239258,299.7562484741211,298.91896057128906,319.1813278198242,312.9854049682617,,327.72166442871094
174.21348571777344,174.0454330444336,173.5412712097168,168.83575820922852,175.38986206054688,169.50797653198242,182.6161880493164,164.4663543701172,183.79256439208984,,,175.38986206054688,182.6161880493164,178.75094604492188,175.55792236328125,191.01889038085938,175.0537567138672,260.578426361084,260.0724220275879,260.24109649658203,263.27710342407227,261.5904312133789,271.5418014526367,271.5418014526367,275.75848388671875,281.1558380126953,,,295.1552200317383,295.66121673583984,318.4313049316406,311.0099411010742,325.34666442871094,327.8766632080078
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153.05075073242188,154.22486877441406,152.04437255859375,156.4053726196289,150.19932556152344,159.92772674560547,149.19293975830078,166.9724349975586,147.515625,163.7855453491211,147.6833610534668,158.92134857177734,151.0379867553711,162.77915954589844,149.52840042114258,165.6305923461914,165.6305923461914,258.296329498291,256.94671630859375,257.11541748046875,255.59710311889648,255.76580810546875,261.67036056518555,262.3451614379883,267.91231536865234,272.4672546386719,279.89012145996094,281.23973846435547,285.6259765625,285.794677734375,302.4961166381836,301.1465148925781,323.9212188720703,325.7769317626953
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
