nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,561.548957824707,577.3692474365234,554.551513671875,570.9802856445312,,,,,541.469352722168,559.1150665283203,524.7363357543945,599.2742767333984,,592.27685546875,,,,769.188346862793,769.7982788085938,789.011116027832,791.7558059692383,,,,,845.7347259521484,849.08935546875,872.8766632080078,862.5078582763672,,917.4016723632812
579.0725555419922,581.1253662109375,579.3658142089844,567.3422546386719,582.005126953125,,570.8613433837891,,560.304069519043,,,545.934440612793,559.1310348510742,523.646858215332,605.1725006103516,489.62896728515625,592.2691650390625,822.3616485595703,816.4833450317383,815.8955154418945,767.6934432983398,768.8691024780273,,790.6188201904297,,820.8920669555664,,,846.756591796875,849.9896545410156,881.4385833740234,866.1549835205078,902.0126342773438,918.7657928466797
596.5845336914062,596.5845336914062,592.0619964599609,582.0478057861328,596.9075775146484,576.2331085205078,584.6321105957031,,573.6487884521484,,592.0619964599609,576.2331085205078,564.2806777954102,614.6746978759766,614.6746978759766,494.1812934875488,592.7080688476562,810.3994522094727,807.4897537231445,807.8130569458008,766.7538986206055,766.7538986206055,785.1820297241211,787.768424987793,,814.2790679931641,,808.1363525390625,847.9023132324219,842.7294921875,870.5333404541016,870.8566284179688,901.8934783935547,917.7351989746094
610.0992279052734,610.0992279052734,,596.8258209228516,610.4395751953125,592.0610046386719,599.888916015625,,589.6786041259766,603.6327056884766,607.3764801025391,571.3000335693359,579.4682922363281,549.1776809692383,623.7129821777344,514.1222763061523,594.1030731201172,763.8157119750977,761.0842056274414,,761.425651550293,763.4742736816406,780.5461730957031,783.2776718139648,,805.8125839233398,811.6170272827148,808.8855209350586,837.2248687744141,837.2248687744141,874.4416046142578,871.7100830078125,893.5621185302734,916.0970306396484
615.4971923828125,616.1805114746094,605.2472534179688,603.1972503662109,617.8888397216797,,605.5889129638672,,594.6556549072266,608.6638946533203,613.4471893310547,575.5224227905273,586.4557037353516,560.4891815185547,627.11376953125,522.2227478027344,595.6806488037109,765.2514724731445,761.4850845336914,761.4850845336914,762.5122833251953,763.1970825195312,,783.7409896850586,,809.0784606933594,808.7360687255859,806.6816711425781,839.5519256591797,837.1551361083984,870.3677825927734,873.7917633056641,890.5692901611328,913.8523712158203
,,629.6684112548828,,633.3239593505859,,619.0340270996094,649.6078338623047,608.7319946289062,624.0188903808594,630.3330383300781,586.1339797973633,597.7653121948242,576.1642608642578,634.6532745361328,538.2793350219727,594.7743911743164,,,798.8444442749023,,753.9804992675781,,777.5756072998047,811.8051300048828,800.1737365722656,805.1586303710938,803.1646728515625,840.0528106689453,835.4002380371094,870.2944183349609,875.6116333007812,888.9046478271484,913.1643981933594
645.4768981933594,644.1793212890625,645.4768981933594,630.2303466796875,645.1525115966797,624.3912353515625,633.7986755371094,,662.3454132080078,652.6135864257812,645.8013000488281,600.0616226196289,612.3886337280273,596.1688919067383,638.6646118164062,564.0538101196289,598.1152496337891,755.6753082275391,753.3995895385742,753.7246932983398,755.0251007080078,755.3502044677734,770.9551086425781,776.15673828125,,805.7410430908203,798.9139022827148,794.6875686645508,831.4241180419922,835.000244140625,868.4857635498047,875.6380157470703,887.0166015625,909.7737731933594
653.7912139892578,653.4816284179688,653.1720428466797,637.6930236816406,651.0049743652344,,640.169677734375,,669.8893890380859,696.2037048339844,696.2037048339844,604.8775024414062,616.6415557861328,605.8062438964844,639.8600921630859,,598.3763122558594,754.5180816650391,748.0156517028809,748.0156517028809,748.0156517028809,748.0156517028809,,773.4060821533203,,802.8218383789062,796.6290435791016,796.6290435791016,838.1207275390625,829.1411895751953,867.2268524169922,879.3027801513672,,911.8149261474609
655.3372344970703,656.5418090820312,656.8429565429688,649.0131988525391,663.769287109375,,,,,,,,630.0410919189453,630.3422317504883,642.0868759155273,598.7220611572266,599.324348449707,799.7816696166992,792.856086730957,792.5549697875977,744.075855255127,751.6036682128906,,,,,,,,826.5806884765625,862.1119689941406,880.7809295654297,910.8921966552734,910.8921966552734
660.922966003418,662.7713623046875,668.3165588378906,644.9035110473633,669.548828125,,,,,,684.3359985351562,,646.7519073486328,,644.5954437255859,,599.6177520751953,813.4429779052734,808.5076904296875,792.159553527832,782.2889785766602,790.000358581543,,,,,,785.9904403686523,,829.1742095947266,,878.2186126708984,,909.9895324707031
,,,668.2145233154297,682.8271636962891,658.4727554321289,683.1518859863281,652.6276931762695,701.3365173339844,663.343635559082,,642.2364807128906,650.3546142578125,,646.7826309204102,,603.9188613891602,,,,744.0234909057617,744.9977569580078,760.2613220214844,773.9010848999023,784.6180572509766,797.6083297729492,811.2481079101562,,821.6403045654297,827.1611633300781,,878.4727172851562,,905.427490234375
679.5395050048828,683.6784820556641,680.4946594238281,680.8130340576172,696.0953979492188,,,,,,,,660.7549362182617,,650.8850860595703,,609.8137435913086,812.3567352294922,804.7138824462891,803.7585296630859,744.2079849243164,745.4817962646484,,,,,,,,843.24658203125,,876.6840362548828,,903.1155700683594
694.6532135009766,696.3900299072266,692.9164276123047,692.9164276123047,709.1265869140625,,707.9687194824219,670.0485153198242,715.7843322753906,,727.6524963378906,,,705.6529693603516,661.364501953125,714.3369903564453,,812.7498321533203,805.7840881347656,807.2352752685547,744.2534332275391,745.4143829345703,,773.2773284912109,768.6334991455078,800.5597839355469,,803.1719360351562,,,840.6127471923828,871.0878448486328,889.3729095458984,
716.0818328857422,710.8006744384766,703.7591400146484,710.8006744384766,700.2383728027344,,,,,,,,,,671.4854354858398,726.9375457763672,,771.4196624755859,759.0752716064453,759.6631011962891,784.9397125244141,810.21630859375,,,,,,,,,,871.0565185546875,882.8130798339844,
714.7748107910156,720.1013946533203,716.2544097900391,713.5911254882812,,,,,,,646.4169616699219,,,,687.5500411987305,744.9588012695312,,813.5939178466797,759.9775848388672,760.273811340332,811.2241363525391,,,,,,,886.4647216796875,,,,872.8384857177734,887.9458618164062,
726.1698150634766,738.2460784912109,740.2119750976562,,739.0886077880859,,,698.6471557617188,,689.6601638793945,,,,708.7575225830078,709.0383682250977,754.5350036621094,754.5350036621094,816.7498779296875,801.8417587280273,802.1230545043945,,748.9601593017578,,,780.4640960693359,,789.1839294433594,,,,874.6946258544922,874.9758911132812,893.8220062255859,893.5407257080078
