nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,561.5489654541016,577.3692779541016,554.5515289306641,570.9803009033203,,,,,541.469352722168,559.1150741577148,524.7363510131836,599.2742919921875,,592.27685546875,,,,769.1883544921875,769.7982864379883,789.0111236572266,791.7558135986328,,,,,845.7347412109375,849.08935546875,872.8766937255859,862.5078582763672,,917.4016723632812
579.0725555419922,581.1253662109375,579.3658142089844,567.3422546386719,582.005126953125,,570.8613433837891,,560.304069519043,,,545.934440612793,559.1310348510742,523.646858215332,605.1725006103516,489.62896728515625,592.2691650390625,822.3616638183594,816.4833602905273,815.8955307006836,767.6934509277344,768.8691101074219,,790.6188278198242,,820.8920822143555,,,846.7566223144531,849.9896850585938,881.4386138916016,866.1550140380859,902.0126647949219,918.7658386230469
596.5845336914062,596.5845336914062,592.0619964599609,582.0478057861328,596.9075775146484,576.2331085205078,584.6321105957031,,573.6487884521484,,592.0619964599609,576.2331085205078,564.2806777954102,614.6746978759766,614.6746978759766,494.1812744140625,592.7080688476562,810.3994522094727,807.4897537231445,807.8130569458008,766.75390625,766.75390625,785.1820297241211,787.768424987793,,814.2790679931641,,808.1363525390625,847.9022979736328,842.7294921875,870.5333404541016,870.8566131591797,901.8934631347656,917.7351837158203
610.0992279052734,610.0992279052734,,596.8258209228516,610.4395751953125,592.0610046386719,599.8889007568359,,589.6785888671875,603.6327056884766,607.37646484375,571.3000335693359,579.4682922363281,549.1776809692383,623.7129821777344,514.1222610473633,594.1030731201172,763.8157043457031,761.0841979980469,,761.4256362915039,763.4742660522461,780.5461730957031,783.2776718139648,,805.8125762939453,811.6170272827148,808.8855209350586,837.2248687744141,837.2248687744141,874.4416046142578,871.7100830078125,893.5621337890625,916.0970306396484
615.4971923828125,616.1805114746094,605.2472534179688,603.1972503662109,617.8888397216797,,605.5889129638672,,594.6556549072266,608.6638946533203,613.4471893310547,575.5224227905273,586.4557037353516,560.4891815185547,627.11376953125,522.2227478027344,595.6806488037109,765.2514801025391,761.4850997924805,761.4850997924805,762.5122909545898,763.1970901489258,,783.7409896850586,,809.0784606933594,808.7360687255859,806.6816711425781,839.5519256591797,837.1551361083984,870.3677825927734,873.7917633056641,890.5692901611328,913.8523712158203
,,629.6683654785156,,633.3239288330078,,619.0340118408203,649.6077880859375,608.7319641113281,624.0188598632812,630.3330078125,586.1339416503906,597.7652816772461,576.1642379760742,634.6532287597656,538.2793197631836,594.7743759155273,,,798.8444442749023,,753.9805145263672,,777.5756225585938,811.8051452636719,800.1737594604492,805.1586303710938,803.164680480957,840.0528106689453,835.4002532958984,870.29443359375,875.6116485595703,888.9046630859375,913.1644287109375
645.4768981933594,644.1793212890625,645.4768981933594,630.2303466796875,645.1524963378906,624.3912353515625,633.7986755371094,,662.3454132080078,652.6135711669922,645.8012847900391,600.0616455078125,612.3886337280273,596.1688995361328,638.6646118164062,564.053825378418,598.1152725219727,755.6753082275391,753.3995895385742,753.7246932983398,755.0251007080078,755.3502044677734,770.9551086425781,776.15673828125,,805.7410430908203,798.9139022827148,794.6875686645508,831.4241180419922,835.000244140625,868.4857635498047,875.6380157470703,887.0166015625,909.7737731933594
653.7911987304688,653.4816284179688,653.1720428466797,637.6930236816406,651.0049743652344,,640.1696624755859,,669.8893737792969,696.2037048339844,696.2037048339844,604.8775024414062,616.6415557861328,605.8062438964844,639.8600921630859,,598.3763198852539,754.5180816650391,748.0156517028809,748.0156517028809,748.0156517028809,748.0156517028809,,773.4060821533203,,802.8218383789062,796.6290435791016,796.6290435791016,838.1207275390625,829.1411895751953,867.2268524169922,879.3027801513672,,911.8149261474609
655.3372344970703,656.5418090820312,656.8429489135742,649.01318359375,663.7692718505859,,,,,,,,630.0410919189453,630.3422393798828,642.0868759155273,598.7220764160156,599.3243637084961,799.7816696166992,792.856086730957,792.5549697875977,744.0758666992188,751.6036758422852,,,,,,,,826.5806732177734,862.1119537353516,880.7809295654297,910.8921661376953,910.8921661376953
660.9229507446289,662.7713623046875,668.3165435791016,644.9035034179688,669.5488128662109,,,,,,684.3359985351562,,646.7519073486328,,644.5954437255859,,599.6177444458008,813.4429626464844,808.5076904296875,792.159538269043,782.2889633178711,790.0003509521484,,,,,,785.9904327392578,,829.1741943359375,,878.2186126708984,,909.9895324707031
,,,668.2145385742188,682.8271942138672,658.472770690918,683.1519165039062,652.6277084350586,701.3365631103516,663.3436660766602,,642.2364959716797,650.3546371459961,,646.7826538085938,,603.9188690185547,,,,744.0235061645508,744.9977798461914,760.2613296508789,773.9011001586914,784.6180572509766,797.6083145141602,811.2480773925781,,821.6402893066406,827.1611480712891,,878.4726715087891,,905.4274444580078
679.5394897460938,683.6784515380859,680.49462890625,680.8130187988281,696.0953826904297,,,,,,,,660.7549285888672,,650.8850631713867,,609.8137397766113,812.3567657470703,804.7139053344727,803.7585525512695,744.2080154418945,745.481819152832,,,,,,,,843.2466125488281,,876.68408203125,,903.1156158447266
