nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
574.4841156005859,576.2954254150391,572.6728210449219,560.5974807739258,576.2954254150391,555.16357421875,574.4841156005859,,553.3522796630859,,,540.0694046020508,560.8993606567383,519.5413208007812,599.2385559082031,490.56049728393555,591.6914978027344,820.6252517700195,815.1795120239258,815.1795120239258,770.1008911132812,770.1008911132812,788.8584365844727,794.3041763305664,,819.4150848388672,,,845.7361450195312,848.7615661621094,879.0156707763672,863.5860900878906,902.6138610839844,916.2281951904297
575.7621765136719,578.9910888671875,578.1104736328125,568.1302032470703,583.1006164550781,562.2594451904297,577.2298583984375,,560.2046813964844,,612.7478942871094,545.2342681884766,562.2594451904297,527.328483581543,604.8223876953125,,592.4938201904297,830.7661361694336,823.1265411376953,819.6005630493164,768.4740219116211,768.4740219116211,787.8668518066406,790.5113220214844,,819.0129089355469,,835.7612609863281,847.2206573486328,848.3959808349609,876.8975524902344,867.2011566162109,,918.3276977539062
598.7221374511719,597.7668914794922,598.7221374511719,581.2088470458984,597.4484710693359,577.3877563476562,588.2141723632812,,594.2642211914062,,621.9670867919922,556.6902236938477,567.8350601196289,538.5400772094727,614.3249206542969,499.69238662719727,592.6721038818359,766.5817337036133,763.7153930664062,764.0338745117188,765.9447631835938,765.9447631835938,784.7352066040039,788.2385177612305,,806.3919830322266,,828.6857299804688,844.2913513183594,842.0619812011719,875.5025939941406,869.7698974609375,900.0257110595703,916.9052581787109
608.6609954833984,611.0376129150391,606.6239166259766,597.7965393066406,613.4141998291016,591.3457641601562,604.247314453125,,588.6296539306641,602.5497436523438,581.1603240966797,570.9748916625977,578.7837219238281,549.245979309082,623.5996246337891,514.2759780883789,594.0618743896484,812.7341918945312,762.0277786254883,808.3101425170898,763.048713684082,762.7084045410156,781.425537109375,785.1689605712891,,805.2473449707031,814.4357376098633,828.7288360595703,836.5559997558594,837.917236328125,873.6499328613281,872.6290130615234,893.3880157470703,915.8485717773438
620.56640625,620.2295074462891,621.240234375,605.0687103271484,620.2295074462891,598.66748046875,610.4592132568359,,622.5878753662109,,643.4761047363281,576.4316101074219,584.8542785644531,557.9017181396484,627.6414642333984,522.1895904541016,593.9507751464844,763.4931716918945,760.4611968994141,760.1243133544922,762.4825134277344,762.8193969726562,778.9898986816406,782.6956405639648,,813.3522186279297,,817.3948364257812,837.2710876464844,836.9342041015625,871.9702911376953,873.9916076660156,891.5096588134766,913.7440948486328
631.9579162597656,,629.2597198486328,,634.6561279296875,,618.8041839599609,,609.6977386474609,623.5260314941406,669.3955535888672,585.4138641357422,598.567626953125,573.6092071533203,633.3070373535156,539.8816299438477,596.2066955566406,805.3685760498047,,800.6453170776367,,756.449089050293,,777.7037658691406,,802.3321990966797,805.3685760498047,806.043327331543,839.7809143066406,835.7324066162109,871.4942321777344,875.2053833007812,888.0256500244141,912.6540832519531
646.0548095703125,645.7314910888672,645.4081573486328,630.2119750976562,645.4081573486328,624.7154998779297,633.1219024658203,,659.6343688964844,,677.4171142578125,599.1729965209961,613.3991928100586,595.2931213378906,638.9417114257812,564.5774536132812,599.8196334838867,755.9298324584961,753.3406982421875,753.3406982421875,755.2825469970703,755.2825469970703,771.1410675048828,775.024787902832,,803.8290100097656,,801.2398681640625,833.2805328369141,834.5751037597656,868.2339935302734,876.9723510742188,885.0634155273438,908.0420989990234
654.0127563476562,653.0903015136719,653.7052764892578,636.7933349609375,651.245361328125,,635.2559051513672,,672.7696380615234,700.7511901855469,700.7511901855469,604.1994476318359,617.421501159668,606.0443801879883,639.5607452392578,574.9879302978516,599.2796173095703,754.0549240112305,751.5945892333984,751.5945892333984,752.2096710205078,753.1323013305664,,772.1998977661133,,802.3390197753906,795.5730972290039,795.5730972290039,836.7837219238281,832.7856750488281,866.0002288818359,878.6094360351562,885.3753662109375,909.3636322021484
664.8512573242188,647.5657196044922,664.8512573242188,,664.2653045654297,,,,,659.8706741333008,661.9215087890625,620.6120071411133,630.2801895141602,628.8153076171875,642.2921676635742,598.9318389892578,599.5177841186523,755.4169692993164,815.0048522949219,751.3074645996094,,752.1880722045898,,,,,790.6413345336914,789.7607269287109,830.8558197021484,830.8558197021484,863.4383697509766,880.1699371337891,909.8171234130859,909.8171234130859
677.3321380615234,677.3321380615234,677.3321380615234,661.5641021728516,676.0706939697266,,,,,,689.0004730224609,,646.4267959594727,,644.8499908447266,,600.384147644043,752.1800689697266,747.7500915527344,748.066520690918,745.8515396118164,749.3322296142578,,,,,,785.7212905883789,,825.5910339355469,,878.4342651367188,,908.1783752441406
,,,,682.8100128173828,,681.1935882568359,,702.2071075439453,,,640.1363830566406,653.0677871704102,,646.2788009643555,,601.6654739379883,,,,,746.145637512207,,773.018440246582,,797.3010940551758,,,824.1738891601562,827.0878143310547,,877.9194793701172,,907.7062225341797
679.89111328125,682.4205780029297,679.5749359130859,,694.7517395019531,,,651.118408203125,,656.1773452758789,,,659.6553726196289,,649.221305847168,,610.9631042480469,812.5043792724609,805.8648223876953,805.8648223876953,,745.476432800293,,,822.6218109130859,,812.5043792724609,,,850.7608947753906,,877.0029754638672,,902.6127166748047
693.6922912597656,695.7194519042969,708.1719818115234,,707.5927886962891,,,,,,,,,,660.9682159423828,,,813.8253631591797,804.5464706420898,746.843376159668,,747.7132797241211,,,,,,,,,,872.3983459472656,,
