nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
578.0883015223912,578.8258983067103,577.8159219650995,560.8084179106213,575.6261109851656,554.5240936279297,572.548756554013,,558.1122603643506,601.1737776256743,611.7877371651786,537.5234427679151,557.5119474501837,523.1276682899112,597.7330845424108,486.59675380161843,592.2287343343097,764.3808800833567,765.5426569439117,820.8439756120954,769.8034282865979,769.8850055876236,789.119872501918,793.053867340088,,820.0665472121461,812.5243524823869,838.8992028009321,845.3466004871186,849.6951700846355,876.2750215076261,863.5428288777669,903.9218154180621,917.9451253981811
582.9849929809571,587.4458759852819,583.2749797276089,571.4105769566129,586.5555376325335,564.8817759922573,580.55211857387,,564.4015197753906,601.0417556762696,601.2612032209124,550.4367572239465,560.6670755658832,528.1091521126884,606.7278028215683,491.0531981331963,592.2739802769252,775.7609111240934,764.4951398032051,814.8637204851424,768.0855375017439,768.1105722699851,787.3152596609931,790.3521254403253,,817.053968157087,810.702355521066,827.9146663120813,844.2138780866351,845.7108176095146,876.2306202479768,867.0114746093751,901.0810023716524,918.0841729300358
590.7492392403741,597.1434173583987,591.3770817347936,582.3992244175504,597.6995304652623,575.4220417567662,589.402568272182,605.6013946533201,574.528536115374,603.9689178466799,597.6754401070733,562.3837530953542,566.3089283534462,535.9669069562641,614.6908939906532,498.9289011274067,592.6550641741072,781.6185204642162,762.9486389160155,806.0555038452151,765.9430029732843,765.9947575160442,785.158800942557,787.5411300659183,802.4247817993167,814.1980787004745,808.3924729483472,818.6543094090054,842.7885175432478,842.2271619524278,875.6449813842772,869.859679085868,898.0295279366636,917.6077401297431
601.3810403006422,607.9185224260607,602.122227986654,593.7743602934343,609.0580894833524,586.1448909214569,599.1001056489495,605.6013946533208,588.493309384301,609.9552641369053,601.0304478236612,573.3644303821386,574.4375058128724,546.7009328206384,621.6223580496656,510.22386278424983,593.3719860258561,781.9537081037255,760.9031542823434,794.4193256923136,763.3758247012189,763.5375613258004,782.6504963466105,784.6208812168672,802.424781799317,811.4988788423091,805.5947047642304,811.1181320917044,841.0705188569575,839.2442031133749,874.5181049165278,872.0874423072457,894.7673921130959,916.5158269973035
618.2058243524466,621.9675547281906,618.8817988804412,606.4019528343568,621.7268945603148,597.5415823800226,610.1565275646396,605.6013946533208,609.174230666388,622.3573630196712,613.0547114780975,585.0363373529348,588.1137023199177,561.4425081525535,627.3950631277905,526.7832957676483,594.3421347481868,775.9288032168439,757.8898487999331,774.4303657895048,759.8804542904813,760.1320902506516,779.6096304030651,781.419925144741,802.424781799317,808.4066877819248,801.1261407761353,804.6483691987543,838.9020567394444,836.141970679874,872.0758637927834,872.8103535970058,890.1010902041487,914.1687513078969
634.1554245721732,633.018201555525,634.497960408529,618.4685349237355,632.0990520658952,608.0260961623424,621.4907277425134,605.6013946533208,629.8847874232706,629.8261566162114,630.0727727980845,594.67785862514,598.4795873732799,576.3261475335988,632.1591106596452,542.7444868541903,595.5312946864541,765.4213939848405,755.8865040370401,757.5077594575433,756.597883315314,757.5673185076038,776.5546620686855,777.8333166213268,802.424781799317,806.6530140468058,797.4497771490194,802.824813842774,837.0292932419557,835.093595232283,869.8968978155233,874.0262865339014,884.2741473969966,912.4818376813623
644.9482247488844,643.4545506068644,644.7203761509492,626.1920972551623,641.8318285260887,616.3747696649466,631.2165251232334,605.6013946533208,647.0578329903744,639.505988711403,642.3975270589198,600.691403706869,608.4220915294834,594.8719148181738,635.9267280215313,558.9768727620446,596.9105874924437,751.4769853864402,753.6828684125633,749.5354171026327,754.7514205206014,755.7016180129283,774.0320663452154,774.990819295248,802.424781799317,805.4659420195086,794.9622410365519,798.4443366641096,835.506663731167,832.885598318918,868.079913911366,876.3227895100918,888.4574337913882,911.3162979852592
656.5308016822457,655.0663379487542,656.2492276146304,637.2931583949503,653.4349023728148,619.2495262509306,638.4381880987263,599.5979323614216,653.017453874861,639.1694481259306,652.2303001767118,600.4158474150163,620.9379421415788,612.0531964983263,639.6976361955919,582.1180067516513,598.4309483482729,754.2464999244332,750.3110031854544,751.228534880139,751.9915706089571,752.1079864501958,772.8726955595475,772.6533828008749,795.8185406639468,804.2513460431785,795.1773852393746,792.7895642235171,833.6036376953131,831.7844122023814,866.3576456705734,878.3412628173835,892.8544253394724,910.702479044597
665.6491059802831,665.7214304606125,665.6702902657651,644.9492027646024,663.3860706147698,629.7655883062457,635.615607852028,608.6031257992704,668.1242327008933,659.0047011602497,670.5869126092825,608.4351385207408,631.3111590430855,623.2521060761956,642.9011128743495,602.4157584054134,598.5062237694154,747.4504201979869,748.842701321557,748.8234663463779,749.8699653262189,750.3634461902442,769.9797926403232,771.0109743390769,805.727902367002,803.879861377535,792.1092914399652,790.0721540905186,832.183231172108,831.8876364571713,865.1840282621844,879.3555501302089,897.3629985990985,910.684649512882
672.0298229399186,672.522833687919,671.0440412248888,654.1732620965872,675.0151359921415,640.386980692546,642.6602884928391,,675.3188948858358,682.7537667410719,691.0521574474521,619.368546985445,642.276847112747,623.6489177885514,644.7852903093615,617.5842982700897,600.2110699244913,754.3826664515909,747.0583812168671,744.7126028878354,744.8228905087431,747.4322873070132,767.3812891642258,771.0232776460199,,801.9686268397745,793.1030186244425,790.2416116623657,830.0073075067435,832.2648155575713,863.2462645031163,878.3766297839943,899.9249652680903,909.0287141345802
