nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
,,,561.6324768066406,576.7865142822266,554.3585357666016,572.2403106689453,,,,,541.3260650634766,561.3293914794922,523.4442901611328,597.6990966796875,,591.6374816894531,,,,769.4529190063477,769.4529190063477,789.1968002319336,792.5380706787109,,,,,845.3909149169922,848.4284362792969,874.8548736572266,862.4010314941406,,917.6838989257812
581.6591491699219,581.9549865722656,581.6591491699219,569.2338409423828,584.3217010498047,563.0211791992188,579.8841094970703,,560.0627746582031,,608.5806274414062,546.7499465942383,553.8501281738281,526.6327896118164,606.2139282226562,487.87767028808594,592.9010772705078,768.5541229248047,765.5924224853516,815.3489761352539,768.5541229248047,768.5541229248047,787.80517578125,790.7668762207031,,819.1991958618164,,836.3770599365234,845.2621612548828,847.9276885986328,877.5446929931641,867.7710723876953,902.4229736328125,918.7123107910156
,596.61474609375,,582.666748046875,597.2634735107422,575.8549346923828,590.4516754150391,,574.2330780029297,,592.7222747802734,557.6901092529297,566.1237716674805,537.2546768188477,614.4552001953125,498.6544189453125,592.7222747802734,,760.4012451171875,,765.6036529541016,765.9287948608398,785.112663269043,788.6893157958984,,814.051025390625,,810.7995223999023,842.6642456054688,842.0139465332031,877.4553070068359,871.2774505615234,900.8661346435547,917.4488067626953
604.6904754638672,611.8276672363281,606.3898010253906,597.2134246826172,612.1675415039062,592.1154174804688,601.6316680908203,,588.0370025634766,601.9715270996094,602.3114013671875,572.0632858276367,578.1808929443359,548.2726211547852,623.7230072021484,515.9853057861328,594.4944763183594,815.4243850708008,761.3764801025391,808.2859802246094,763.7559509277344,763.7559509277344,780.7521362304688,783.8114547729492,,807.9460601806641,811.00537109375,810.6654586791992,836.1597442626953,838.5392150878906,873.8912963867188,872.8715209960938,892.2472076416016,916.0418548583984
619.1883544921875,619.1883544921875,619.5251922607422,603.0201263427734,618.8515167236328,597.6307220458984,607.0621795654297,,623.5672454833984,633.6723937988281,612.1147613525391,595.2728576660156,585.8414001464844,557.8838424682617,628.2829742431641,521.8421783447266,593.2518310546875,764.2100677490234,760.5037612915039,760.1668243408203,761.8515090942383,762.5253829956055,779.7091751098633,780.7199859619141,,812.0551376342773,790.1542282104492,807.0010833740234,843.3902893066406,836.9884948730469,872.0299530029297,872.3668823242188,890.8984222412109,914.8209686279297
634.267578125,632.9342651367188,634.6009063720703,617.2678527832031,632.6009368896484,,619.6011505126953,605.6013946533203,605.9347076416016,624.2677307128906,625.6010437011719,586.9350204467773,597.2681884765625,577.2685089111328,,541.2691116333008,594.9348907470703,754.0096740722656,754.0096740722656,754.0096740722656,754.0096740722656,754.0096740722656,,779.0519714355469,802.4247817993164,806.0976486206055,803.7603759765625,803.4264755249023,837.8179016113281,833.8111419677734,868.870361328125,,886.9008026123047,912.9448089599609
646.6891937255859,646.0405426025391,646.3648681640625,630.7968902587891,644.4188690185547,624.9588928222656,634.6888732910156,,661.2841796875,646.6891937255859,654.4731903076172,599.9852676391602,613.2829132080078,596.417594909668,638.2565460205078,565.930305480957,598.3636016845703,757.0555572509766,751.8603019714355,752.8344116210938,754.4579315185547,755.7567443847656,771.3425064086914,775.2389450073242,,804.1375427246094,794.3964462280273,797.3187789916992,832.7114410400391,834.01025390625,869.4029235839844,876.8710784912109,884.6639709472656,909.3414154052734
653.7356109619141,652.8136596679688,653.4282836914062,637.7553863525391,650.3551635742188,,639.5992584228516,,,632.8383941650391,651.277099609375,607.3314971923828,616.8581695556641,607.9461212158203,640.2138824462891,575.9856872558594,597.8048324584961,755.645378112793,752.8781127929688,752.8781127929688,752.5706405639648,754.7229537963867,,771.326530456543,,,814.9877777099609,793.7721099853516,833.1287231445312,833.1287231445312,866.3358917236328,878.9423065185547,885.3992462158203,911.5345153808594
664.9171905517578,664.6127471923828,664.6127471923828,,663.3949737548828,,,,,663.0905303955078,661.2638702392578,,630.2107543945312,628.9929809570312,642.3884429931641,598.2443008422852,599.7665100097656,753.9566192626953,750.2984008789062,750.6032562255859,,751.2129592895508,,,,,791.7582397460938,791.1485366821289,,828.3404541015625,864.3129425048828,880.1652526855469,911.5649871826172,910.6504364013672
676.9332275390625,675.9868774414062,676.6177673339844,661.7916564941406,676.3023376464844,,,,,,683.8731079101562,,646.3346481323242,,644.4419555664062,627.40771484375,599.9636421203613,749.9769058227539,743.3310623168945,743.3310623168945,743.3310623168945,743.3310623168945,,,,,,785.1049194335938,,826.8787536621094,,877.5137329101562,895.868896484375,909.47705078125
,682.8044891357422,,,683.1215209960938,,,,702.7775268554688,730.3593444824219,730.3593444824219,639.3710556030273,649.1990585327148,,646.6627960205078,,602.2782592773438,,748.7913131713867,,,748.7913131713867,,,,797.9651718139648,795.1099166870117,795.1099166870117,823.6624755859375,826.8349761962891,,877.2778472900391,,906.7821502685547
681.0671234130859,,,680.4333190917969,695.0108184814453,671.2431564331055,694.0601196289062,,707.0531158447266,,,653.1797332763672,663.0036926269531,,650.9614181518555,,614.2007598876953,814.0246276855469,,,740.7415313720703,747.4036331176758,759.458854675293,772.7830505371094,,795.6245346069336,,,823.5419158935547,834.0109100341797,,875.5697326660156,,899.3629455566406
694.0193176269531,704.1027069091797,694.5955047607422,692.5788421630859,692.5788421630859,,,,,,,,,,,,623.4356079101562,813.1511993408203,755.4586944580078,755.4586944580078,810.8434906005859,810.5550384521484,,,,,,,,,,,,897.6707153320312
701.3192443847656,708.974365234375,701.3192443847656,710.4465026855469,,,,668.6377487182617,,,629.4788513183594,,,,,727.5233154296875,,813.6609191894531,758.4822387695312,758.4822387695312,785.038818359375,,,,871.7903137207031,,,893.0355682373047,,,,,883.2981719970703,
714.6724395751953,715.5557861328125,712.6112976074219,713.2001953125,727.3338165283203,,,,,,647.2432861328125,,,686.1107406616211,,743.8230438232422,,813.6077117919922,808.8904876708984,809.1853179931641,812.4284057617188,747.5665817260742,,,,,,886.7246856689453,,,873.4575042724609,,884.6609039306641,
726.2831649780273,731.0158996582031,724.61279296875,,,,,,,,670.3255996704102,,,710.1361999511719,710.4146041870117,753.8443756103516,,815.8754730224609,805.836669921875,760.9408950805664,,,,,,,,881.6854248046875,,,874.9928741455078,875.5506134033203,894.2339324951172,
,731.7767944335938,731.7767944335938,731.7767944335938,744.3333435058594,,,,,,,,,754.21826171875,753.9511260986328,,754.4854431152344,,762.5163421630859,763.0507736206055,762.2491302490234,751.0261459350586,,,,,,,,,849.3608551025391,848.826416015625,,895.0544281005859
741.0735702514648,752.2899627685547,755.1537094116211,756.1082992553711,754.1991348266602,,,,,,711.9586944580078,,,,760.6425857543945,756.1082992553711,755.8696517944336,820.0890350341797,803.1414260864258,803.1414260864258,794.5482864379883,751.1051635742188,,,,,,878.3314514160156,,,,846.8232421875,894.8016357421875,894.8016357421875
750.1217575073242,767.218376159668,767.4320831298828,750.7628784179688,766.1498336791992,737.5130004882812,,,,,,,,,769.7828674316406,,,820.0270843505859,804.8653869628906,804.8653869628906,747.2082290649414,749.3436813354492,763.4376525878906,,,,,,,,,782.6567077636719,,
755.5496826171875,772.1949310302734,772.1949310302734,755.3362884521484,771.1279296875,743.385856628418,,734.6364402770996,,,,,,,,,,819.1668090820312,802.0642013549805,802.0642013549805,746.2669372558594,748.8323211669922,761.2317123413086,,777.4791946411133,,,,,,,,,
766.4911575317383,,782.4318084716797,764.3075103759766,780.4665298461914,752.2974319458008,,,,,,,,,789.4195022583008,,,815.6622772216797,,801.2261352539062,742.3879013061523,744.5752029418945,758.3551559448242,,,,,,,,,849.5653533935547,,
776.1486129760742,785.6067199707031,790.8856582641602,749.7539253234863,788.2461853027344,760.3118057250977,,,,,,,,784.5069351196289,802.5433120727539,759.2120208740234,789.7858734130859,810.295654296875,793.1344375610352,793.5744781494141,782.7937164306641,740.5507354736328,755.5117950439453,,,,,,,,847.2582550048828,843.2979736328125,886.6410217285156,891.7014007568359
797.4394912719727,789.8771667480469,,753.4000778198242,792.5462265014648,764.5211410522461,,754.9570274353027,,,798.7740249633789,755.8467140197754,771.6386260986328,790.0995941162109,809.8950881958008,762.9641952514648,799.8861312866211,770.4534912109375,789.5912780761719,,778.6871871948242,737.2961502075195,752.6508865356445,,776.2393341064453,,,794.7095184326172,812.2895812988281,814.7374420166016,846.3370513916016,840.3286743164062,882.3873138427734,893.2914123535156
