nose_x,left_eye_x,right_eye_x,left_ear_x,right_ear_x,left_shoulder_x,right_shoulder_x,left_elbow_x,right_elbow_x,left_wrist_x,right_wrist_x,left_hip_x,right_hip_x,left_knee_x,right_knee_x,left_ankle_x,right_ankle_x,nose_y,left_eye_y,right_eye_y,left_ear_y,right_ear_y,left_shoulder_y,right_shoulder_y,left_elbow_y,right_elbow_y,left_wrist_y,right_wrist_y,left_hip_y,right_hip_y,left_knee_y,right_knee_y,left_ankle_y,right_ankle_y
528.1852416992188,528.6873092651367,525.6749038696289,516.8887100219727,,,,,,,,,,516.3866424560547,517.6418151855469,501.0735626220703,492.7894477844238,532.7978210449219,530.0393676757812,530.0393676757812,528.2839813232422,,,,,,,,,,574.4253997802734,576.1807861328125,605.771484375,607.52685546875
510.2571792602539,511.41690826416016,506.5460433959961,499.81961822509766,501.9071350097656,519.0711135864258,501.21129608154297,,501.4432373046875,530.4364547729492,511.41690826416016,523.7100296020508,515.5919342041016,522.3183517456055,519.5350112915039,,493.325138092041,454.205623626709,454.205623626709,453.97339630126953,463.03028106689453,463.03028106689453,475.80281829833984,481.6085205078125,,509.01141357421875,524.8029022216797,524.8029022216797,526.1962738037109,531.0730590820312,572.4096374511719,575.6608123779297,,606.3149108886719
509.85155487060547,510.71605682373047,528.8704452514648,516.7675170898438,,,,,,,,,,517.8481369018555,521.0899887084961,,492.3455352783203,535.2401885986328,532.0010681152344,527.6822509765625,524.6590728759766,,,,,,,,,,576.4849090576172,576.2689666748047,,608.0123138427734
491.9534149169922,493.0803031921387,492.62954330444336,497.1370964050293,500.5177688598633,521.0271301269531,501.6446533203125,530.4929885864258,501.41927337646484,531.1691207885742,510.4343795776367,527.3376998901367,518.3225936889648,521.7032623291016,523.0555267333984,,495.10870361328125,465.4342803955078,462.95325469970703,463.8554458618164,463.8554458618164,464.08099365234375,470.17079162597656,481.6737365722656,455.7357177734375,505.807373046875,518.88916015625,521.1446380615234,524.9789581298828,527.9110717773438,572.5695953369141,573.0206909179688,,604.8229522705078
514.6877288818359,516.0592422485352,513.544792175293,521.3167343139648,525.431282043457,,,,,,531.1459503173828,,,,521.3167343139648,,492.74343490600586,535.386474609375,531.9558258056641,532.4132537841797,530.1261596679688,529.6687316894531,,,,,,525.0945434570312,,,,576.5541381835938,,607.8873138427734
491.2972755432129,494.09057998657227,501.5393981933594,496.41833877563477,498.74609375,,503.16883087158203,529.7052536010742,502.93605041503906,535.9901962280273,526.6791687011719,519.9286727905273,521.5581130981445,524.3514175415039,524.3514175415039,,496.18556213378906,464.88358306884766,461.86132049560547,455.3518371582031,464.65110778808594,464.4186248779297,,482.55220794677734,444.6576690673828,506.4978332519531,420.71204376220703,520.2142486572266,529.9784851074219,527.1887054443359,574.6150054931641,575.0799713134766,,603.2102508544922
494.1416931152344,494.3754997253418,493.90788650512695,500.6882629394531,507.9362487792969,,504.19535064697266,,519.3927536010742,,537.8634262084961,523.8350601196289,525.7055130004883,524.7702865600586,525.7055130004883,549.3199234008789,495.5445327758789,469.2386474609375,463.15860748291016,466.4324722290039,459.88475036621094,460.58628845214844,,485.14027404785156,,509.22654724121094,,522.7897033691406,531.6759033203125,532.1436004638672,574.9376678466797,576.10693359375,586.8639068603516,603.9347534179688
,,,,,,,,,,,539.7177200317383,527.5595397949219,565.4644470214844,526.367561340332,549.0151519775391,496.09131622314453,,,,,,,,,,,,522.9266510009766,532.9319458007812,554.3718566894531,575.8117828369141,588.1992797851562,604.3983154296875
506.3040237426758,506.54344177246094,503.6703872680664,499.3608093261719,502.47328186035156,518.0356521606445,507.0222854614258,523.0635070800781,526.8942337036133,,,525.6971282958984,529.7672882080078,569.2717590332031,528.3307571411133,549.160400390625,496.2483329772949,452.50074768066406,452.0209503173828,454.65982818603516,470.4930419921875,469.0536575317383,464.2557144165039,486.56614685058594,442.9048538208008,504.3185577392578,,,532.1466369628906,529.9875640869141,554.2171783447266,575.0882415771484,587.322998046875,603.8759002685547
513.6603012084961,513.6603012084961,507.7367172241211,499.6806526184082,502.76091384887695,519.8208160400391,509.63226318359375,,522.6641311645508,,,545.4106750488281,534.2743453979492,570.0527496337891,529.0615997314453,548.9648132324219,497.07427978515625,459.00640869140625,456.6386032104492,459.2431945800781,469.66156005859375,469.4247741699219,466.3466262817383,488.8408203125,,448.1144790649414,,,520.8062591552734,529.5671691894531,554.9027557373047,576.2130432128906,585.6842803955078,604.1532287597656
